area,ciudad,conglomerado,panelm,vivienda,hogar,s91p7,s91p8a,s91p8b,s91p8c,s91p8d,s91p91,s91p92,s91p93,s91p94,s91p95,s91p96,s91p10,s91p111,s91p112,s91p113,s91p114,s91p115,s91p121,s91p122,s91p123,s91p124,s91p125,s91p126,s91p131,s91p132,s91p133,estrato,fexp,upm,id_vivienda,id_hogar,periodo,NEW_VARIABLE,ID_1,NAME_1
1,10150,11403,28,7,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,4,5,5,1,1,5,5,2712,61.86310608,10150011403,1015001140302807,10150011403028071,202210,1,1,Azuay
1,10150,11403,28,9,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,5,4,3,5,5,1,1,5,5,2712,61.86310608,10150011403,1015001140302809,10150011403028091,202210,1,1,Azuay
1,10150,11403,28,10,1,3,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,5,4,5,5,5,2,1,5,5,2712,61.86310608,10150011403,1015001140302810,10150011403028101,202210,1,1,Azuay
1,10150,14901,13,1,1,1,1,2,2,2,2,2,1,2,1,1,3,2,2,2,2,2,4,5,4,5,5,1,1,2,4,2712,42.41945278,10150014901,1015001490101301,10150014901013011,202210,1,1,Azuay
1,10150,14901,13,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,5,4,5,2,5,2,1,2,1,2712,42.41945278,10150014901,1015001490101302,10150014901013021,202210,1,1,Azuay
1,10150,14901,13,3,1,1,1,4,2,1,2,2,2,1,2,2,3,1,2,2,2,2,4,5,5,5,5,4,4,5,5,2712,42.41945278,10150014901,1015001490101303,10150014901013031,202210,1,1,Azuay
1,10150,14901,13,4,1,1,1,2,2,1,1,2,1,2,1,2,3,2,2,2,2,2,5,5,5,5,5,1,1,5,4,2712,42.41945278,10150014901,1015001490101304,10150014901013041,202210,1,1,Azuay
1,10150,14901,13,5,1,3,1,2,2,4,1,1,1,2,1,1,5,2,2,2,2,2,5,5,5,5,5,1,2,5,5,2712,42.41945278,10150014901,1015001490101305,10150014901013051,202210,1,1,Azuay
1,10150,14901,13,6,1,1,1,1,2,2,1,2,2,1,1,1,4,1,2,2,1,2,5,5,5,5,5,2,4,4,5,2712,42.41945278,10150014901,1015001490101306,10150014901013061,202210,1,1,Azuay
1,10150,14901,13,7,1,1,1,2,2,2,2,2,1,2,2,1,5,2,2,2,2,2,5,4,5,5,5,2,2,5,5,2712,42.41945278,10150014901,1015001490101307,10150014901013071,202210,1,1,Azuay
1,10150,15501,25,1,1,1,1,5,1,1,2,2,1,2,2,2,2,2,1,2,2,2,5,5,5,5,5,2,99,4,5,2712,110.434095,10150015501,1015001550102501,10150015501025011,202210,1,1,Azuay
1,10150,15501,25,2,1,3,6,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,5,5,5,5,5,5,2,2,2,2712,110.434095,10150015501,1015001550102502,10150015501025021,202210,1,1,Azuay
1,10150,15501,25,3,1,3,2,2,2,2,2,2,2,1,1,2,4,2,2,2,2,2,5,5,5,4,4,1,5,5,5,2712,110.434095,10150015501,1015001550102503,10150015501025031,202210,1,1,Azuay
1,10150,15501,25,4,1,3,1,1,1,1,2,2,2,2,2,1,4,2,2,2,2,2,5,5,5,5,5,1,1,4,4,2712,110.434095,10150015501,1015001550102504,10150015501025041,202210,1,1,Azuay
1,10150,15501,25,5,1,1,2,2,2,2,2,2,2,1,2,1,3,2,2,2,2,2,5,4,5,4,5,1,1,4,5,2712,110.434095,10150015501,1015001550102505,10150015501025051,202210,1,1,Azuay
1,10150,15501,25,9,1,1,1,1,1,1,2,2,2,2,1,1,4,1,2,2,2,2,5,5,5,5,5,2,5,5,5,2712,110.434095,10150015501,1015001550102509,10150015501025091,202210,1,1,Azuay
1,10150,16004,13,1,1,1,1,1,1,1,2,2,2,1,2,1,4,2,2,2,2,2,5,5,5,5,5,3,3,4,5,2712,58.57470363,10150016004,1015001600401301,10150016004013011,202210,1,1,Azuay
1,10150,16004,13,2,1,3,2,2,2,2,2,1,1,2,1,1,4,2,2,2,2,2,5,3,4,4,4,4,5,5,5,2712,58.57470363,10150016004,1015001600401302,10150016004013021,202210,1,1,Azuay
1,10150,16004,13,3,1,3,1,1,1,1,2,2,1,2,1,1,4,2,2,2,2,2,5,5,5,5,5,3,5,5,5,2712,58.57470363,10150016004,1015001600401303,10150016004013031,202210,1,1,Azuay
